id,year,month,region,age_group,gender,registration_count
676,2022,3,대구,50대,여성,90475
677,2022,3,대구,60대,여성,57416
678,2022,3,대구,70대,여성,13263
679,2022,3,대구,80대,여성,2267
680,2022,3,대구,90대이상,여성,473
681,2022,3,대전,20대,남성,11727
682,2022,3,대전,30대,남성,64803
683,2022,3,대전,40대,남성,111336
684,2022,3,대전,50대,남성,131803
685,2022,3,대전,60대,남성,99288
686,2022,3,대전,70대,남성,30196
687,2022,3,대전,80대,남성,5182
688,2022,3,대전,90대이상,남성,396
689,2022,3,대전,전체,법인및사업자,68903
690,2022,3,대전,20대,여성,6764
691,2022,3,대전,30대,여성,28402
692,2022,3,대전,40대,여성,45622
693,2022,3,대전,50대,여성,52957
694,2022,3,대전,60대,여성,32824
695,2022,3,대전,70대,여성,6650
696,2022,3,대전,80대,여성,1375
697,2022,3,대전,90대이상,여성,337
698,2022,3,부산,20대,남성,17017
699,2022,3,부산,30대,남성,113419
700,2022,3,부산,40대,남성,209705
701,2022,3,부산,50대,남성,226459
702,2022,3,부산,60대,남성,208174
703,2022,3,부산,70대,남성,71109
704,2022,3,부산,80대,남성,11369
705,2022,3,부산,90대이상,남성,1131
706,2022,3,부산,전체,법인및사업자,319952
707,2022,3,부산,20대,여성,8409
708,2022,3,부산,30대,여성,44612
709,2022,3,부산,40대,여성,77690
710,2022,3,부산,50대,여성,89819
711,2022,3,부산,60대,여성,64193
712,2022,3,부산,70대,여성,14847
713,2022,3,부산,80대,여성,2713
714,2022,3,부산,90대이상,여성,578
715,2022,3,서울,20대,남성,31970
716,2022,3,서울,30대,남성,286398
